"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjVeNnNByevfMJJEKUoX3LY3EpWFN611A483uDXBslsZL2suyz3d7A=w45-h45-p-rp-mo-br100","rebeca villavicencio","1 opinión","Hace un mes","El día de hoy mi hija tenía cita cita médica, pero la pediatra no quiso atenderle, ahí nadie hacia nada más que conversar y estar en el celular, hasta la dra déspota, prefirió no atender a mi hija que le dije que está enferma, con fiebre y…","","Me gusta","2","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocLzf-sr0V7cxGzZKorCDv5uQDpHJDT1EuFHdsOvXRqv4JlGxQ=w45-h45-p-rp-mo-br100","Bertulfo Aron Zambrano Gonzalez","1 opinión","Hace 6 días","Pésima la atención la señorita de agendamiento de turnos atiende a los pacientes sin amabilidad y es una patada grosera diciendome de manera grosera y alzandote la voz que ella no da informaciónes y que me valla a otro lado !! Primo pésimo pésimo el personal","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocJvcESJh-LNb71XYwvwEHrSEjCP4zW_9rPBg4f55ahAq8wz8w=w45-h45-p-rp-mo-br100","Sara Hurtado","2 opiniones","2 semanas atrás","No hay derivaciones, ni tampoco para examen de control y la pediatra que atendió a mi hijo que actitud tan fea y cuando uno va a sacar cita solo hay en ese lugar 😡 tampoco me dieron medicina ni nada. Pésimo servicio ir desde lejos para que lo traten así…","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXl5TP7Rzn-z3dLVGJqLekD1Ep2JPrn5vHYtl0vUYjEQnext9g=w45-h45-p-rp-mo-ba4-br100","Verónica Laje","Local Guide · 69 opiniones · 58 fotos","Hace 3 meses","Fui a una revisión, te atienden con las puertas abiertas. No hay privacidad, el médico que me atendió no me preguntó absolutamente nada, me dijo a qué viene ?
Tuve que esperar 1:30 para retirar medicina de la farmacia, no había nada.…","","Me gusta","5","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjWCkSN6XwZ43HyHYyEbsY7p9C0nFIDDrgQRtvuEKOStUr6N5Mvv=w45-h45-p-rp-mo-br100","Jessica Lupercio","1 opinión","Hace 3 meses","Mi hija tuvo cita con una pediatra, pero ella muy arrogante, ni siquiera me escuchó cuando trate de explicar la situación de mi hija, me interrumpía y de mala gana me dijo que ya me iban a llamar para que mi hija pueda ser intervenida, ya…","","Me gusta","2","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjXUpWDcLVxGHEVQHmk2qwXPysTxc5eq1URk0dWQa-PMPg0zBJg3Lg=w45-h45-p-rp-mo-ba4-br100","Edu Maldonado","Local Guide · 87 opiniones · 127 fotos","Hace un mes","No hay turnos por internet, no hay medicinas, no atienden en el laboratorio para el agendamiento de citas en la tarde, no hay reactivos para exámenes de laboratorio por ende no dan cita para exámenes de laboratorio, dan citas para exámenes de imagen después de 4 meses. Todo un desastre con este gobierno.","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjX60XpDTTuGkpkdPlYI7yYfigdG0MYOv57Y5lDAJaPIIpWD4xcUwg=w45-h45-p-rp-mo-ba4-br100","Lya Rog","Local Guide · 130 opiniones · 43 fotos","2 semanas atrás","Se puede mejorar la atención a los pacientes en las áreas en dónde se toma de turnos para los exámenes y también en farmacia","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjV721ivc1dp_VHmQD85-YB6zWn1RnBYoHsSp5bdTWWOnCUE5r10Dg=w45-h45-p-rp-mo-ba5-br100","PAOLA CABEZAS","Local Guide · 319 opiniones · 188 fotos","Hace 6 meses","No sé para que se asigna citas si los médicos no atienden a tiempo... Se llega con tiempo respetando lo que indican pero no atienden.
Las enfermeras no dan información y se pasan conversando en lugar de ayudar
Este servicio no es gratuito, mensualmente pagamos por el. Se debe mejorar!","","Me gusta","7","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjWz5X923QUeAFvHsRiW17UrvODAbl4thApdsF8_KerbDmXyupSq=w45-h45-p-rp-mo-br100","Narcisa Pozo","1 opinión","Hace 3 meses","Excelente y oportuna atención. Llegue antes de la hora indicada y me atendieron inmediatamente, la Dra. Lina Guamaní ENDOCRINÓLOGA muy profesional y atenta. Felicidades de los pocos hospitales del IESS donde tratan bien al paciente...","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMB_SDmk60BdSwzxZlpMHRgUfgQMw8s7ngLpXxXp7IzNRZOm01=w45-h45-p-rp-mo-ba4-br100","Gustavo Rafa Vallejo","Local Guide · 42 opiniones · 72 fotos","Hace 6 meses","Terrible , la peor atención de las enfermeras ayudantes que orden la cédula, peso etc y un médico déspota no piden de favor ni saben preguntar, sin modales algunos fue en el 3er piso y el peor servicio.…","","Me gusta","3","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjWZcfu18og_FtSWiemMZKlyuUWLtMLGWUFpglR7hHcDCJTrGcH0=w45-h45-p-rp-mo-ba2-br100","Leo YZ","Local Guide · 7 opiniones · 7 fotos","Hace 9 meses","Atendieron muy bien a mi novia, además nos ayudaron agendando otra cita en el mismo lugar sigan así. 👌👏…","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocKOywmXfXLanC5hSKG-5b1TJ95yyf7TtUsetmCLQpfMKR7m-g=w45-h45-p-rp-mo-br100","Patty Rivadeneira","11 opiniones","Hace 9 meses","La primera vez la grosera fue una enfermera, ahora una doctora apellido Rengel Nereida de pediatría,  que debería tener tino al decir algo o dar un diagnóstico, que imposible que lo de en unos minutos y decirle autista a mi hijo de nuevas a…","","Me gusta","7","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjWnWULP2L-9U-H4BLurJc3ehV8WVTxuB9ssauYbZ66WO1bOoKU=w45-h45-p-rp-mo-ba5-br100","Roberto Vega","Local Guide · 196 opiniones · 176 fotos","Hace 3 meses","Un edificio muy grande  de especialidades para informar que  los laboratorios no sirven","","Me gusta","2","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjXplYJ5Izj3v6NqE4H-lsVctDwMZFLOa__4-kR1Z5jyX-R3Opl0tQ=w45-h45-p-rp-mo-ba4-br100","Cristian RM","Local Guide · 76 opiniones · 21 fotos","3 semanas atrás","No buscan curar a los afiliados, nadie controla la mala atención de los médicos.","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjW_v-wqm3Vt-sWZGN6yQyCKSCMAMMq3p-VXugSiujzcRfBd9FHH=w45-h45-p-rp-mo-br100","Cristopher Argüello","1 opinión","Hace 8 meses","Terrible hospital, las enfermeras tienen el ego tan alto, que alguien les diga que no son médicas y son simples enfermeras. Que irás, te tratan con desprecio. Pides información, señalan y se van, de verdad, que ineficiente este hospital.","","Me gusta","4","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjXld-0ytgxPCJfmxQ1zGVcOT8uVmklWBMbm82cffq-cRvHaagGFCQ=w45-h45-p-rp-mo-ba5-br100","Vanesa Vergara","Local Guide · 323 opiniones · 783 fotos","Hace 4 meses","Buena atención, pero no hay medicinas ni turnos cercanos","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjWT7VATe6OWl9i23uA0D2_-OrkaSoPc09iNVE1VzRJ3z_Nb6lw=w45-h45-p-rp-mo-br100","Alisson Puentes","7 opiniones · 2 fotos","Hace 9 meses","A ultimo momento me llamaron a cancelar mi cita para la cual espere 2 meses y me reagendan para dentro de 1 mes mas. No es la clínica es el Iess en general es el colmo el mal servicio que dan a los ecuatorianos.","","Me gusta","4","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjVt_SaaYZZUHydYShKV0O7ORnOeEYdQtAa1EmNx6BqM5Tn9noxR=w45-h45-p-rp-mo-ba3-br100","Claudia Espinosa","Local Guide · 26 opiniones · 5 fotos","2 semanas atrás","Excelente servicio, cuando se llega a tiempo.","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjU48BTd8Xv9yqg8EC5JY6ut9XTJRI82r6Whe1NPrf9qc3kEadbPLQ=w45-h45-p-rp-mo-ba5-br100","Gabriel Moreta Ramírez","Local Guide · 82 opiniones · 777 fotos","Hace 6 años","Hospital que queda en el Norte de la ciudad, buena atención con gran variedad de especialidades.","","Me gusta","3","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocJqq1ZPmx2VSLMPjWZ7L_UGp0kpoUJHMQKwvpCDTKeyDRxeiRs=w45-h45-p-rp-mo-ba3-br100","C Torres","Local Guide · 32 opiniones · 9 fotos","Hace un año","Pésima atención y coordinación. Se tiene una cita específica después de meses y dicen que se cambia la fecha nuevamente por qué el dr no está o simplemente algo surgió. El tiempo que damos a cada actividad realizada no me devuelve el tiempo…","","Me gusta","4","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocJVUC4SLSxATfA1Vs36O9YUNyHpwAdkASiN5V8PWXr4kdBB=w45-h45-p-rp-mo-br100","María Molina","4 opiniones","Hace 10 meses","Soy paciente crónica, de que sirve que me atiendan y me hagan exámenes si por lo general nunca recibo la medicina, dice llame a tal número para que pregunte si ya llega la medicina y de que sirve si igual nunca de los nuncas contestan, son una baina","","Me gusta","2","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjV5Wz522RM1KyJimnsXJFuJZLqW5-PBQdy6uFtITvDcreoLMP4=w45-h45-p-rp-mo-ba4-br100","Beatriz Peñaloza","Local Guide · 230 opiniones · 30 fotos","Hace un año","El Centro de Especialidades Comité del Pueblo - Ponceano, es limpio, amplio y organizado.…","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjWKl_93RDD8l9zS3Jsvf3AVgyjHPHvUWnooMtjt6MJ7OLms0S7g=w45-h45-p-rp-mo-ba3-br100","Pablo Baquero","Local Guide · 27 opiniones · 11 fotos","Hace 2 años","Fui a odontología a una profilaxis , la profesional se tardó 4 minutos en el procedimiento ( en otros establecimientos filiales ,es muchisimo mejor realizan el procedimiento completo ).…","","Me gusta","8","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocIpsOHeV5bDfYHvYSHUtD_W1Ow6C1v_pQW8slinlFnrOrjmDQ=w45-h45-p-rp-mo-br100","Lucila Amaguaña","18 opiniones","Hace 2 años","El pediatra que atendio a mi niña, fue demaciado parco, nada profecional, le lleve a mi niña  de 1 año 3 meses de ead con malestar estomacal, este medico dijo que solo esta tratando afecciones respiratorias, extendio la receta para comprar…","","Me gusta","6","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocL0X22vEOboXJJef29Q2bMry6Oh-XSDMZkyhT1dLqxJQTGhXQ=w45-h45-p-rp-mo-br100","Zandra Velez","2 opiniones","Hace 2 años","Pésimo nadie da una buena atencion no guían al paciente te indican mal a dónde es que se tiene que acercarse y por eso  se pierden los turnos pésima atención la Dra.Guerrero de medicina Interna se le explica y solo dice q vuelva a coger otro turno. Y todo por un minuto.😡…","","Me gusta","4","","Compartir",""
