"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjU9mByNmcJXCJRSa2FcuywORk4B-aG-4lE3FuxUeUh2zmO-MyN1hQ=w45-h45-p-rp-mo-br100","sofia rodriguez","1 opinión","2 semanas atrás","Pésima atención,el sistema registra como atención 24 horas pero no quieren atender una emergencia a la hora de la tarde, para ellos es muy fácil decir que vayan al hospital del sur cuando se vive en la Marta Bucaram y aveces no hay recursos para tomar un taxi.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocJZs0ThHe7sFyG3zZbg3qnW6H_KeS5fxuleJmo4aTsAeAVyQA=w45-h45-p-rp-mo-br100","Nicol Ramos","1 opinión","Hace 3 meses","Pésimo servicio, los funcionarios súper groseros, las instalaciones deterioradas y la manera en que se manejan muy burocrática, voluntariamente no volvería a ese dispensario","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXN9rd_I_m6MguV6Cdkke53rscMGnuxnJR3ZgQ7FdG_p7WeFjBr=w45-h45-p-rp-mo-ba5-br100","Alex Campaña Jijon","Local Guide · 433 opiniones · 641 fotos","Hace un año","Lastima que la actitud de la sección enfermería es pésima, aunque traten de ayudar y uno trata de decir algo porque no tiene tiempo por su trabajo,  es allí  cuando se encrespan y  la pésima actitud aparezca. Después uno trata de decir algo…","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocKkdy18Tsh6kgK5Qan76QM7utIcYCWzNznisL4WX_O-xiB8Wg=w45-h45-p-rp-mo-ba6-br100","Javier Ice Ortiz","Local Guide · 639 opiniones · 37 fotos","Hace 9 meses","Lamentablemente la persona especial que atiende en ventanilla es muy poco amable casi cae en despota","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXARMQlNZvt2QtkKX_5A-50wLQMMPr28a7vkRA3n4tZDL6-9as=w45-h45-p-rp-mo-ba3-br100","Hugo Wladimir Pozo","Local Guide · 35 opiniones · 40 fotos","Hace un año","Espacio físico muy reducido, necesita mejoramiento tanto para el personal como para los afiliados","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocLdUcN7NN-aZDk9jznk8Y1SLKqS455PAMW7s9K1bMUlpwSc=w45-h45-p-rp-mo-ba3-br100","Oscar Molina","Local Guide · 46 opiniones · 15 fotos","Hace 3 años","Mucho trámite para validar los certificados de maternidad, te mandan a cambiar a cada momento","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjV9Luqc_Qr0ndU8VcTB1O49qzbLJfPjAV0NtRDog6M9kava3f2b=w45-h45-p-rp-mo-ba4-br100","Juan Carlos Velasco","Local Guide · 114 opiniones · 30 fotos","Hace 2 años","Excelente atención, el médico familiar es un excelente médico.","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjXxH7k1IUWf1TMhWPaINwuV78G8bVVNczqar4ws9GOaKTPHrq3D=w45-h45-p-rp-mo-ba4-br100","leonardo llerena","Local Guide · 51 opiniones · 67 fotos","Hace 3 años","Atención buena ,pero no tienen todos los  medicamentos","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a/ACg8ocJEySFFwcZ6cT6cRC9g7UhVk0luXV8_VDyqempPIcB8mB0L=w45-h45-p-rp-mo-br100","Yesenia Castro","1 opinión","Hace un año","Imposible comunicarse. El número está mal !!","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjUImgaZddzq9UAVuzTdnIS_37izhPhd9d4nNP8r31Uh9gAXRTSZ=w45-h45-p-rp-mo-ba4-br100","Freddy Velasquez","Local Guide · 132 opiniones · 31 fotos","Hace un año","Centro de servicios médicos del iess","","Me gusta","","Compartir","",""
