"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a/ACg8ocLmU1XdNBp9561sBme1iuUWGTsokVjcmqcLKf8hnOd-JD6Lfg=w45-h45-p-rp-mo-br100","Ruben Cueva","2 opiniones","Hace un año","Saludos cordiales estimados Srs. IESS. Favor indicar que paso con el Centro de Especialidades Sur Occidental que esta cerrado y no hay atención, y que se puede hacer con las citas para laboratorio y citas medicas. Sobre todo para personas ancianas y con difícultad para la movilidad. gracias.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVdDZGJb_TemThpmse0eHKD9ap4ifm6e6RcDlAv_b9MCNKFH8Et=w45-h45-p-rp-mo-br100","Jenny Clavijo","1 opinión","Hace 2 años","Pésima atención sobre todo del área de admisión que reciben los pedidos de los pacientes de 8h00 a 9h00 y el doctor recién envía el pedido 9h30. Y ellos no toman en cuenta el tiempo y lo lejos que resulta trasladarse de norte de la ciudad…","","","","Compartir","Me gusta","1"
"https://lh3.googleusercontent.com/a-/ALV-UjVYFgp3MKWc7iejAcPiaIfq-ishaHMRxpPuXxHUeZmcTnZNVEiY=w45-h45-p-rp-mo-br100","BLen","3 opiniones","Hace 11 meses","Atención eficiente y rápida 👍🏿 muy buen trato a los afiliados, comprensivos y empáticos. Pasantes de RX muy inteligentes, integras, presentables, educadas y guapas.…","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVrBv3_kk93-IzcvAnrxU00WGMH-BgwIa-UaVmwhoJ9prr2JY-d=w45-h45-p-rp-mo-ba2-br100","Camilo Gabriel","Local Guide · 35 opiniones","Hace un año","Pésimo el trato a los afiliados, si eres joven sal corriendo de allí y paga un seguro particular, no hay donde dejar la bici y obligan a usar mascarilla menos los funcionarios que se pasean como modelos si eres joven no pagues este servicio..","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU7zKl7JNh5EjkXGLNuvp0n9lGSMhrmCdcXpzQbH6CONI07GxxR=w45-h45-p-rp-mo-br100","Fernando Tito","32 opiniones · 1 foto","Hace un año","Pésimo servicio desde la señora de la ventanilla y demás trabajadores de la salud con sus excepciones desde luego mal mal de mal en peor el Iess,tratan al afiliado como si nos estuvieran haciendo un favor cuando nosotros aportamos mensualmente","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWyTImfYbleJllr1hHXguKqNKT1Da2EzZUoFjnGWjxCoao06xEgAg=w45-h45-p-rp-mo-ba2-br100","Sylvana Lara","Local Guide · 19 opiniones","Hace 3 años","Hoy fuimos a la vacunación contra el COVID19. Todos los errores iniciales superados. Una excelente atención. Eso es como debe ser el servicio público. Felicitaciones y sigan así","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a/ACg8ocI9GXadkY0VP1KMZUGNUXjAYAQFpvYSCH-1rf8lWKhg5whT-g=w45-h45-p-rp-mo-br100","Olmedo Vela","1 opinión","Hace 3 años","Acabo de vacunarme, el servicio profesional de los servidores del I.E
S.S excelente, pero la viveza criolla y la falta de respeto daña todo.","","","","Compartir","Me gusta","2"
"https://lh3.googleusercontent.com/a-/ALV-UjXuiaaeU2EaiaC2-mzgIOOVDqw7oN0e54Zm-TOUJpa21R4uAu8=w45-h45-p-rp-mo-br100","Tips & Tips","1 opinión","Hace 3 años","Muy buena la atención al cliente, una infraestructura elegante, además de ofrecer buenos servicios.","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVJg973aRjpr82Swl-gBLbs-FZ4h2L1KUAz2LP-hMnV6XIQqF6u=w45-h45-p-rp-mo-br100","Erick Jaramillo","5 opiniones","Hace un año","Alguien que me pueda decir si hoy domingo hay atención en este cetro de salud","","Me gusta","","Compartir","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXqtdaUqrPUU-bavtdsYtg9zL7WBWuXYYnqucd-muqBlCxyXrET=w45-h45-p-rp-mo-br100","HEY! IT ́S THALIA","5 opiniones · 6 fotos","Hace 2 años","No ponen los nombres de los doctores en la puerta y la chica de signos vitales no te dice dónde ir","","","","Compartir","Me gusta","2"
